Database Fundamentals,Computer Architecture,Distributed Computing Systems,Cyber Security,Networking,Software Development,Programming Skills,Project Management,Computer Forensics Fundamentals,Technical Communication,AI ML,Software Engineering,Business Analysis,Data Science,Troubleshooting skills,Role,Technical_Score,Management_Score,Role_Encoded
1.0,1.0,1.0,1.0,0.0,1.0,5.0,0.0,1.0,1.0,6.0,0.0,1.0,1.0,1.0,API Specialist,2.3333333333333335,0.6666666666666666,1
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Graphics Designer,3.0,3.0,7
6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,0.0,6.0,6.0,6.0,Technical Writer,6.0,5.666666666666667,14
3.0,3.0,3.0,2.0,3.0,3.0,3.0,5.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,AI ML Specialist,3.0,2.6666666666666665,0
4.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,Helpdesk Engineer,3.3333333333333335,2.6666666666666665,9
2.0,5.0,3.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,Hardware Engineer,2.0,0.6666666666666666,8
4.0,3.0,3.0,0.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Software Developer,2.6666666666666665,3.0,12
3.0,3.0,3.0,3.0,3.0,4.0,6.0,3.0,3.0,5.0,0.0,3.0,3.0,3.0,3.0,Technical Writer,3.1666666666666665,3.6666666666666665,14
0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0,Customer Service Executive,1.3333333333333333,1.3333333333333333,3
1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,AI ML Specialist,1.6666666666666667,1.0,0
0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,API Specialist,0.8333333333333334,1.0,1
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,5.0,1.0,1.0,Business Analyst,0.8333333333333334,3.0,2
3.0,3.0,3.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,4.0,3.0,3.0,4.0,3.0,Networking Engineer,2.3333333333333335,2.0,11
4.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,Helpdesk Engineer,3.6666666666666665,4.0,9
6.0,6.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,6.0,5.0,6.0,6.0,6.0,Software tester,6.0,4.0,13
0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,0.0,6.0,6.0,6.0,6.0,Technical Writer,4.0,5.666666666666667,14
1.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,Cyber Security Specialist,1.0,1.6666666666666667,4
1.0,1.0,1.0,6.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,Business Analyst,0.8333333333333334,0.6666666666666666,2
2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Customer Service Executive,1.3333333333333333,2.0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,Customer Service Executive,0.0,0.0,3
0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,5.0,2.0,2.0,2.0,2.0,2.0,Technical Writer,1.6666666666666667,3.0,14
1.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,Data Scientist,1.3333333333333333,1.0,5
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,0.0,1.0,1.0,2.0,AI ML Specialist,1.6666666666666667,1.0,0
6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,3.0,6.0,0.0,6.0,6.0,Technical Writer,5.5,3.6666666666666665,14
0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,Software tester,0.6666666666666666,0.0,13
0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Information Security Specialist,0.0,0.0,10
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,AI ML Specialist,1.0,0.0,0
0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,Software Developer,0.8333333333333334,0.0,12
6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,6.0,Data Scientist,5.0,6.0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Graphics Designer,0.0,0.0,7
4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,4.0,5.0,4.0,Data Scientist,2.8333333333333335,4.0,5
1.0,1.0,1.0,1.0,1.0,0.0,6.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,Software Developer,1.6666666666666667,0.6666666666666666,12
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,5.0,4.0,4.0,4.0,Software tester,4.0,2.6666666666666665,13
0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Software Developer,0.8333333333333334,0.0,12
4.0,4.0,4.0,4.0,4.0,0.0,3.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,Graphics Designer,3.1666666666666665,4.0,7
4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,6.0,4.0,4.0,Software tester,3.8333333333333335,4.666666666666667,13
2.0,2.0,0.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Graphics Designer,2.3333333333333335,2.0,7
0.0,2.0,2.0,0.0,0.0,5.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,Software Developer,1.8333333333333333,1.3333333333333333,12
3.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,0.0,Hardware Engineer,3.3333333333333335,3.0,8
3.0,3.0,3.0,3.0,3.0,4.0,3.0,1.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,Data Scientist,3.5,2.6666666666666665,5
3.0,3.0,3.0,4.0,3.0,4.0,5.0,3.0,3.0,3.0,4.0,3.0,4.0,1.0,0.0,API Specialist,3.3333333333333335,3.3333333333333335,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,Graphics Designer,1.1666666666666667,1.0,7
3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,Customer Service Executive,3.0,3.0,3
4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,5.0,Helpdesk Engineer,4.0,2.6666666666666665,9
3.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,0.0,3.0,Data Scientist,2.8333333333333335,3.0,5
1.0,1.0,1.0,1.0,1.0,6.0,1.0,0.0,1.0,1.0,1.0,5.0,1.0,1.0,0.0,Software tester,1.8333333333333333,0.6666666666666666,13
1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,Hardware Engineer,0.8333333333333334,1.6666666666666667,8
