Database Fundamentals,Computer Architecture,Distributed Computing Systems,Cyber Security,Networking,Software Development,Programming Skills,AI ML,Software Engineering,Business Analysis,Data Science,Role
Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Cyber Security Specialist
Excellent,Excellent,Excellent,Professional,,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Cyber Security Specialist
Poor,Poor,No Experience,Professional,No Experience,Poor,Poor,Poor,Poor,No Experience,Not Interested,Cyber Security Specialist
Intermediate,Average,,Professional,Average,Average,Average,,Average,Average,Average,Cyber Security Specialist
,Excellent,Excellent,Professional,Excellent,Excellent,,Excellent,Excellent,Excellent,Excellent,Cyber Security Specialist
Intermediate,Intermediate,,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Not Interested,Intermediate,Cyber Security Specialist
Average,Average,Average,Professional,Average,Average,Average,Average,Average,Average,Intermediate,Cyber Security Specialist
Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Cyber Security Specialist
Intermediate,Intermediate,Intermediate,Professional,Poor,Intermediate,Intermediate,Average,Average,Intermediate,Intermediate,Cyber Security Specialist
Not Interested,Not Interested,Beginner,Professional,Not Interested,,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Cyber Security Specialist
Excellent,Excellent,Excellent,Professional,,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Cyber Security Specialist
Poor,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Cyber Security Specialist
Beginner,,Beginner,Professional,Beginner,Beginner,Beginner,Entry-level,Novice,Beginner,Beginner,Cyber Security Specialist
Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Cyber Security Specialist
Intermediate,Competent,Average,Professional,Competent,Intermediate,Intermediate,,Intermediate,Intermediate,Intermediate,Cyber Security Specialist
Not Interested,Not Interested,,Professional,Not Interested,,Not Interested,Not Interested,Not Interested,Not Interested,No Experience,Cyber Security Specialist
Beginner,,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Novice,Cyber Security Specialist
Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Cyber Security Specialist
Poor,Poor,Not Interested,,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Cyber Security Specialist
Poor,Not Interested,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Cyber Security Specialist
Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,,Cyber Security Specialist
Intermediate,Not Interested,Competent,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Cyber Security Specialist
Poor,Average,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Cyber Security Specialist
Not Interested,Not Interested,Not Interested,Professional,Not Interested,Poor,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Cyber Security Specialist
Intermediate,Average,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Cyber Security Specialist
Average,Average,Average,Professional,Average,Average,Average,Average,Not Interested,Average,Average,Cyber Security Specialist
Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,,Excellent,Excellent,Cyber Security Specialist
Beginner,Beginner,Novice,Professional,Intermediate,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Cyber Security Specialist
Excellent,Average,Average,Professional,Average,Average,Average,Average,Average,Average,Average,Cyber Security Specialist
Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Excellent,Competent,Intermediate,Cyber Security Specialist
Intermediate,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,,Poor,Cyber Security Specialist
Not Interested,Not Interested,Not Interested,Professional,,Not Interested,,Not Interested,Not Interested,Intermediate,Not Interested,Cyber Security Specialist
Not Interested,Not Interested,Not Interested,Professional,Average,Not Interested,Not Interested,Not Interested,,Not Interested,Not Interested,Cyber Security Specialist
Excellent,Excellent,Excellent,Advanced,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Cyber Security Specialist
,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Poor,Beginner,Novice,Beginner,Cyber Security Specialist
Average,Average,Average,Advanced,Average,Average,Average,Average,Average,Average,Average,Cyber Security Specialist
Poor,Poor,Poor,Professional,No Experience,Poor,Poor,Poor,Poor,,Poor,Cyber Security Specialist
Not Interested,Not Interested,Not Interested,Professional,,Not Interested,Not Interested,Not Interested,Average,,Not Interested,Cyber Security Specialist
,Not Interested,Not Interested,Professional,Poor,Not Interested,Not Interested,Not Interested,Not Interested,No Experience,Not Interested,Cyber Security Specialist
Excellent,Excellent,Excellent,,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Cyber Security Specialist
Excellent,Excellent,Excellent,Professional,Excellent,Excellent,,Poor,Excellent,Excellent,Excellent,Cyber Security Specialist
Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Cyber Security Specialist
Entry-level,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Not Interested,Beginner,Cyber Security Specialist
Not Interested,Not Interested,Not Interested,,,,Not Interested,Not Interested,,Not Interested,Not Interested,Cyber Security Specialist
Entry-level,Beginner,Beginner,Professional,Beginner,Entry-level,Beginner,,Beginner,Excellent,Beginner,Cyber Security Specialist
Average,Average,Average,Professional,Average,Average,Average,Average,Average,Average,,Cyber Security Specialist
Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Cyber Security Specialist
Competent,Intermediate,Not Interested,Expert,Intermediate,Intermediate,Intermediate,Intermediate,Average,Intermediate,Intermediate,Cyber Security Specialist
,Poor,No Experience,Professional,Poor,Poor,,Poor,Poor,Poor,Poor,Cyber Security Specialist
Average,Average,Average,Professional,Average,Beginner,Average,Average,Intermediate,Intermediate,Intermediate,Cyber Security Specialist
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Excellent,Intermediate,Intermediate,,Cyber Security Specialist
Not Interested,Not Interested,,Professional,,Not Interested,No Experience,Not Interested,Not Interested,No Experience,Not Interested,Cyber Security Specialist
Average,Average,Average,Professional,,Not Interested,Average,Average,Average,Average,Intermediate,Cyber Security Specialist
Poor,Poor,Poor,Professional,Poor,Not Interested,Poor,No Experience,Poor,Poor,Poor,Cyber Security Specialist
Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Average,,Cyber Security Specialist
No Experience,Beginner,Poor,Professional,Poor,Poor,,No Experience,Poor,Poor,No Experience,Cyber Security Specialist
Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Novice,Beginner,Beginner,Beginner,Beginner,Cyber Security Specialist
Poor,Poor,Poor,Professional,Poor,Poor,,,No Experience,Poor,Intermediate,Cyber Security Specialist
Average,Average,Average,Professional,Average,Average,Intermediate,Poor,Intermediate,Intermediate,Average,Cyber Security Specialist
Average,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,,Cyber Security Specialist
Poor,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Intermediate,Poor,Cyber Security Specialist
Not Interested,Not Interested,,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Cyber Security Specialist
Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Cyber Security Specialist
