Database Fundamentals,Computer Architecture,Distributed Computing Systems,Cyber Security,Networking,Software Development,Programming Skills,Project Management,Computer Forensics Fundamentals,Technical Communication,AI ML,Software Engineering,Business Analysis,Data Science,Troubleshooting skills,Role
Poor,Poor,Poor,Poor,,Poor,Professional,,Poor,Poor,Excellent,No Experience,Poor,Poor,Poor,API Specialist
Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Graphics Designer
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Not Interested,Excellent,Excellent,Excellent,Technical Writer
Average,Average,Average,Beginner,Average,Average,Average,Professional,Average,,Average,Average,Average,Average,Average,AI ML Specialist
Intermediate,Not Interested,Intermediate,Intermediate,Intermediate,Intermediate,,,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Helpdesk Engineer
Beginner,Professional,Average,Beginner,Beginner,Beginner,Beginner,,Beginner,Entry-level,Beginner,Novice,Beginner,Beginner,Beginner,Hardware Engineer
Intermediate,Average,Average,Not Interested,Average,Expert,Average,Average,Average,Average,Average,Average,Average,Average,Average,Software Developer
Average,Average,Average,Average,Average,Intermediate,Excellent,Average,Average,Professional,,Average,Average,Average,Average,Technical Writer
Novice,Beginner,Entry-level,Beginner,Beginner,Beginner,Beginner,Beginner,Poor,Beginner,Beginner,Beginner,Entry-level,,Beginner,Customer Service Executive
Poor,Intermediate,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Professional,Poor,Poor,Poor,Poor,AI ML Specialist
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,None,Not Interested,Not Interested,Not Interested,Average,Not Interested,Not Interested,API Specialist
No Experience,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Average,Poor,,Professional,Poor,Poor,Business Analyst
Average,Average,Average,Average,Expert,Average,N/A,Average,,,Intermediate,Average,Average,Intermediate,Average,Networking Engineer
Intermediate,Intermediate,Intermediate,Beginner,Intermediate,Intermediate,Average,Intermediate,Intermediate,Intermediate,Average,Intermediate,Intermediate,Intermediate,Professional,Helpdesk Engineer
Excellent,Excellent,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Excellent,Professional,Excellent,Excellent,Excellent,Software tester
,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Novice,Excellent,Excellent,Excellent,Excellent,Technical Writer
Poor,Poor,Poor,Professional,Poor,Poor,Poor,No Experience,Poor,Poor,Poor,Poor,Intermediate,Poor,Poor,Cyber Security Specialist
Poor,Poor,Poor,Excellent,Poor,Poor,No Experience,Poor,Poor,Poor,Poor,,,Poor,Poor,Business Analyst
Beginner,Beginner,Beginner,Beginner,Beginner,N/A,Entry-level,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Customer Service Executive
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,None,Not Interested,Not Interested,Intermediate,Not Interested,Not Interested,Not Interested,Customer Service Executive
Novice,Novice,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Novice,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Technical Writer
Poor,Poor,Advanced,Poor,Average,Poor,Poor,Poor,Poor,Poor,Poor,No Experience,Poor,Poor,Poor,Data Scientist
Poor,No Experience,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Professional,,Poor,Poor,Beginner,AI ML Specialist
